name,type,start_time,duration
"Test Analyzer","error",0.5803955,0.0012356
"Test Analyzer","enable",0.5834233,0.0000001
"Test Analyzer","disable",0.5866765,0.0000001
"Test Analyzer","enable",0.5882051,0.0000001
"Test Analyzer","disable",0.5893869,0.0000001
"Test Analyzer","error",0.591692,0.0006861
"Test Analyzer","enable",0.5936097,0.0000001
"Test Analyzer","disable",0.5948239,0.0000001
"Test Analyzer","enable",0.5976157,0.0000001
"Test Analyzer","disable",0.5999228,0.0000001
"Test Analyzer","enable",0.602696,0.0000001
"Test Analyzer","disable",0.6039271,0.0000001
"Test Analyzer","error",0.6049722,0.000777
"Test Analyzer","enable",0.6066332,0.0000001
"Test Analyzer","disable",0.6091209,0.0000001
"Test Analyzer","enable",0.6100496,0.0000001
"Test Analyzer","disable",0.6114506,0.0000001
"Test Analyzer","enable",0.6130661,0.0000001
"Test Analyzer","disable",0.6150051,0.0000001
"Test Analyzer","error",0.6153425,0.0029743
"Test Analyzer","error",0.6209015,0.0021946
"Test Analyzer","error",0.6235362,0.0030574
"Test Analyzer","enable",0.6287698,0.0000001
"Test Analyzer","disable",0.6288794,0.0000001
"Test Analyzer","enable",0.6321479,0.0000001
"Test Analyzer","disable",0.6345043,0.0000001
"Test Analyzer","enable",0.6355009,0.0000001
"Test Analyzer","disable",0.6361159,0.0000001
"Test Analyzer","error",0.6375377,0.0027597
"Test Analyzer","error",0.6418403,0.0012096
"Test Analyzer","enable",0.6433633,0.0000001
"Test Analyzer","disable",0.6441978,0.0000001
"Test Analyzer","error",0.6462892,0.0006161
"Test Analyzer","enable",0.6472677,0.0000001
"Test Analyzer","disable",0.6477209,0.0000001
"Test Analyzer","error",0.6496969,0.0009462
"Test Analyzer","enable",0.6510717,0.0000001
"Test Analyzer","disable",0.6512509,0.0000001
"Test Analyzer","error",0.6537658,0.0004682
"Test Analyzer","enable",0.6554363,0.0000001
"Test Analyzer","disable",0.6558049,0.0000001
"Test Analyzer","error",0.6565843,0.0012722
"Test Analyzer","enable",0.659617,0.0000001
"Test Analyzer","disable",0.6618267,0.0000001
"Test Analyzer","error",0.6645572,0.0000197
"Test Analyzer","enable",0.6653987,0.0000001
"Test Analyzer","disable",0.666974,0.0000001
"Test Analyzer","enable",0.6700034,0.0000001
"Test Analyzer","disable",0.6724425,0.0000001
"Test Analyzer","enable",0.6725855,0.0000001
"Test Analyzer","disable",0.6748488,0.0000001
"Test Analyzer","error",0.6753346,0.0000201
"Test Analyzer","error",0.6776969,0.0005787
"Test Analyzer","error",0.6785348,0.0018008
"Test Analyzer","error",0.6827264,0.0026568
"Test Analyzer","enable",0.6862237,0.0000001
"Test Analyzer","disable",0.6872113,0.0000001
"Test Analyzer","enable",0.6890959,0.0000001
"Test Analyzer","disable",0.6890979,0.0000001
"Test Analyzer","enable",0.6908123,0.0000001
"Test Analyzer","disable",0.6915693,0.0000001
"Test Analyzer","enable",0.6944645,0.0000001
"Test Analyzer","disable",0.6960275,0.0000001
"Test Analyzer","enable",0.6981074,0.0000001
"Test Analyzer","disable",0.6994471,0.0000001
"Test Analyzer","error",0.7011944,0.000804
"Test Analyzer","enable",0.7034584,0.0000001
"Test Analyzer","disable",0.7049888,0.0000001
"Test Analyzer","error",0.7051362,0.0019675
"Test Analyzer","enable",0.7102603,0.0000001
"Test Analyzer","disable",0.712225,0.0000001
"Test Analyzer","enable",0.7143004,0.0000001
"Test Analyzer","disable",0.7158588,0.0000001
"Test Analyzer","error",0.717117,0.0022265
"Test Analyzer","enable",0.7216613,0.0000001
"Test Analyzer","disable",0.7233305,0.0000001
"Test Analyzer","error",0.7264794,0.0020548
"Test Analyzer","enable",0.7309566,0.0000001
"Test Analyzer","disable",0.7328648,0.0000001
"Test Analyzer","error",0.7333232,0.0018039
"Test Analyzer","error",0.7373861,0.0002699
"Test Analyzer","enable",0.7407958,0.0000001
"Test Analyzer","disable",0.7428371,0.0000001
"Test Analyzer","error",0.745093,0.0025936
"Test Analyzer","error",0.7489726,0.0016827
"Test Analyzer","enable",0.7535052,0.0000001
"Test Analyzer","disable",0.7543741,0.0000001
"Test Analyzer","enable",0.7568644,0.0000001
"Test Analyzer","disable",0.7596237,0.0000001
"Test Analyzer","enable",0.7612939,0.0000001
"Test Analyzer","disable",0.7620427,0.0000001
"Test Analyzer","error",0.7647346,0.0010529
"Test Analyzer","enable",0.7676547,0.0000001
"Test Analyzer","disable",0.7684968,0.0000001
"Test Analyzer","error",0.7712119,0.0000491
"Test Analyzer","enable",0.7716082,0.0000001
"Test Analyzer","disable",0.772291,0.0000001
"Test Analyzer","enable",0.7752839,0.0000001
"Test Analyzer","disable",0.7763817,0.0000001
"Test Analyzer","error",0.7767106,0.0022079
"Test Analyzer","enable",0.7806756,0.0000001
"Test Analyzer","disable",0.7817601,0.0000001
"Test Analyzer","enable",0.7823275,0.0000001
"Test Analyzer","disable",0.7828834,0.0000001
"Test Analyzer","enable",0.7852423,0.0000001
"Test Analyzer","disable",0.7855716,0.0000001
"Test Analyzer","enable",0.7861415,0.0000001
"Test Analyzer","disable",0.7887402,0.0000001
"Test Analyzer","enable",0.7917544,0.0000001
"Test Analyzer","disable",0.794527,0.0000001
"Test Analyzer","enable",0.7964095,0.0000001
"Test Analyzer","disable",0.7983401,0.0000001
"Test Analyzer","enable",0.7983851,0.0000001
"Test Analyzer","disable",0.7992549,0.0000001
"Test Analyzer","enable",0.8016101,0.0000001
"Test Analyzer","disable",0.8037968,0.0000001
"Test Analyzer","error",0.805596,0.0014426
"Test Analyzer","enable",0.8070395,0.0000001
"Test Analyzer","disable",0.8077089,0.0000001
"Test Analyzer","enable",0.8100811,0.0000001
"Test Analyzer","disable",0.8132245,0.0000001
"Test Analyzer","enable",0.813861,0.0000001
"Test Analyzer","disable",0.8160722,0.0000001
"Test Analyzer","enable",0.817216,0.0000001
"Test Analyzer","disable",0.8189115,0.0000001
"Test Analyzer","error",0.8204994,0.0022007
"Test Analyzer","enable",0.8247664,0.0000001
"Test Analyzer","disable",0.8270103,0.0000001
"Test Analyzer","error",0.8272961,0.0024324
"Test Analyzer","error",0.8297467,0.0001641
"Test Analyzer","enable",0.831166,0.0000001
"Test Analyzer","disable",0.8342058,0.0000001
"Test Analyzer","error",0.8373471,0.0019538
"Test Analyzer","error",0.8417771,0.0009308
"Test Analyzer","enable",0.844768,0.0000001
